"key","english","translation","notes"
"common.goBack","Go back","",""
"common.close","Close","",""
"common.retry","Retry","",""
"common.tryAgain","Try Again","",""
"common.dismiss","Dismiss","",""
"common.save","Save","",""
"common.saving","Saving…","",""
"common.cancel","Cancel","",""
"common.continue","Continue","",""
"common.loading","Loading…","",""
"common.ok","OK","",""
"common.done","Done","",""
"common.delete","Delete","",""
"common.edit","Edit","",""
"common.seeAll","See all","",""
"common.next","Next","",""
"common.points","pts","",""
"common.appName","MyFace AI","",""
"common.dismissError","Dismiss error","",""
"common.copied","Copied","",""
"common.copiedToClipboard","Copied to clipboard","",""
"common.copyFailed","Could not copy","",""
"common.tryAgainPlease","Please try again.","",""
"common.checkConnection","Please check your connection and try again.","",""
"common.somethingWrong","Something went wrong. Please try again.","",""
"common.loadDataFailed","Could not load data.","",""
"common.saveFailed","Could not save","",""
"common.saveChoiceFailed","Could not save your choice","",""
"common.before","Before","",""
"common.after","After","",""
"language.title","Language","",""
"language.subtitle","Choose the language for MyFace AI. Your choice is saved on this device.","",""
"language.script","{{script}} script","","Keep {{…}} placeholders unchanged"
"language.inProgress","Translation in progress · {{percent}}% done","","Keep {{…}} placeholders unchanged"
"language.fallbackNote","Where a translation isn't ready yet, that text is shown in English. Translations are added only after a native speaker has checked them.","",""
"language.change","Change language","",""
"tabs.home","Home","",""
"tabs.routine","Routine","",""
"tabs.allTools","All Tools","",""
"tabs.socials","Socials","",""
"tabs.earn","Earn","",""
"settings.title","Settings","",""
"settings.editProfile","Edit Profile","",""
"settings.nameLabel","NAME","",""
"settings.namePlaceholder","Your name","",""
"settings.name","Name","",""
"settings.saveProfile","Save profile","",""
"settings.updateFailed","Could not update your profile","",""
"settings.accountSection","ACCOUNT & PRIVACY","",""
"settings.accountDetails","Account Details","",""
"settings.memberSince","Member since {{date}}","","Keep {{…}} placeholders unchanged"
"settings.privacySettings","Privacy Settings","",""
"settings.teenageMode","Teenage Mode","",""
"settings.on","ON","",""
"settings.off","OFF","",""
"settings.remindersSection","ROUTINE REMINDERS","",""
"settings.editAll","Edit All","",""
"settings.editAllReminders","Edit all reminders","",""
"settings.morningRoutine","Morning Routine","",""
"settings.nightRoutine","Night Routine","",""
"settings.integrationsSection","INTEGRATIONS","",""
"settings.notifications","Notifications","",""
"settings.systemSection","SYSTEM","",""
"settings.language","Language","",""
"settings.dataStorage","Data & Storage","",""
"settings.terms","Terms of Service","",""
"settings.signOut","Sign Out","",""
"settings.version","MYFACE AI VERSION {{version}}","","Keep {{…}} placeholders unchanged"
"onboarding.stepOf","Step {{step}} of {{total}}","","Keep {{…}} placeholders unchanged"
"onboarding.stepUpper","STEP {{step}} OF {{total}}","","Keep {{…}} placeholders unchanged"
